Iterations,J_t
10,0.6476055170413368
20,0.6311920068472359
30,0.47980326395643336
40,0.4776653638321114
50,0.4890928777677137
60,0.4936555143029905
70,0.47787801441341454
80,0.4722112881132768
90,0.468833882734169
100,0.46644934862431603
110,0.4645340301766799
120,0.4629176421618719
130,0.4615223555782493
140,0.46030741877696824
150,0.45924556580585846
160,0.4583145637379955
170,0.45749645435539904
180,0.45677765159206235
190,0.45614797655374645
200,0.4555991536148438
210,0.45512358803478575
220,0.45471375978682094
230,0.4543621361178208
240,0.45406135426414684
250,0.45380446571198485
260,0.4535851290660235
270,0.4533977161953009
280,0.45323733882641715
290,0.4530998182586327
300,0.45298162167225564
310,0.4528797834791911
320,0.4527918241000682
330,0.45271567342835933
340,0.4526496025621982
350,0.4525921650201559
360,0.45254214728679293
370,0.45249852783681693
380,0.45246044350882514
390,0.4524271620615526
400,0.45239805983059345
410,0.4523726035409049
420,0.4523503354800429
430,0.4523308613785569
440,0.4523138404682663
450,0.4522989772937905
460,0.45228601493844134
470,0.45227472939463487
480,0.45226492486397835
490,0.4522564298157303
500,0.452249093666676
510,0.45224278397255396
520,0.4522373840425338
530,0.4522327909051605
540,0.4522289135675878
550,0.45222567152061427
560,0.45222299345057104
570,0.4522208161259845
580,0.45221908343246653
590,0.45221774553377936
600,0.4522171136607205
610,0.4522171136607205
